대여일시,대여건수
2020-07-01,"105,196"
2020-07-02,"107,842"
2020-07-03,"102,753"
2020-07-04,"98,488"
2020-07-05,"104,664"
2020-07-06,"106,825"
2020-07-07,"91,407"
2020-07-08,"105,876"
2020-07-09,"102,828"
2020-07-10,"90,880"
2020-07-11,"103,657"
2020-07-12,"57,367"
2020-07-13,"4,859"
2020-07-14,"85,486"
2020-07-15,"106,949"
2020-07-16,"102,741"
2020-07-17,"99,949"
2020-07-18,"98,309"
2020-07-19,"60,804"
2020-07-20,"72,291"
2020-07-21,"100,825"
2020-07-22,"46,448"
2020-07-23,"10,739"
2020-07-24,"76,995"
2020-07-25,"102,498"
2020-07-26,"94,802"
2020-07-27,"52,922"
2020-07-28,"68,214"
2020-07-29,"31,724"
2020-07-30,"92,468"
2020-07-31,"95,705"
2020-08-01,"34,998"
2020-08-02,"11,491"
2020-08-03,"17,575"
2020-08-04,"49,378"
2020-08-05,"28,751"
2020-08-06,"51,456"
2020-08-07,"78,071"
2020-08-08,"40,020"
2020-08-09,"12,384"
2020-08-10,"23,519"
2020-08-11,"50,974"
2020-08-12,"78,261"
2020-08-13,"79,353"
2020-08-14,"72,875"
2020-08-15,"26,267"
2020-08-16,"66,011"
2020-08-17,"73,368"
2020-08-18,"82,202"
2020-08-19,"84,665"
2020-08-20,"85,420"
2020-08-21,"78,701"
2020-08-22,"40,126"
2020-08-23,"80,594"
2020-08-24,"90,297"
2020-08-25,"87,894"
2020-08-26,"40,169"
2020-08-27,"32,745"
2020-08-28,"62,045"
2020-08-29,"33,797"
2020-08-30,"52,904"
2020-08-31,"87,662"
2020-09-01,"87,892"
2020-09-02,"13,744"
2020-09-03,"71,524"
2020-09-04,"115,059"
2020-09-05,"113,253"
2020-09-06,"54,125"
2020-09-07,"3,144"
2020-09-08,"104,606"
2020-09-09,"75,412"
2020-09-10,"107,150"
2020-09-11,"61,474"
2020-09-12,"44,703"
2020-09-13,"118,921"
2020-09-14,"106,465"
2020-09-15,"111,912"
2020-09-16,"88,745"
2020-09-17,"110,088"
2020-09-18,"118,363"
2020-09-19,"117,633"
2020-09-20,"110,798"
2020-09-21,"108,369"
2020-09-22,"112,619"
2020-09-23,"111,343"
2020-09-24,"111,994"
2020-09-25,"114,720"
2020-09-26,"115,111"
2020-09-27,"109,610"
2020-09-28,"107,714"
2020-09-29,"113,823"
2020-09-30,"71,676"
2020-10-01,"82,099"
2020-10-02,"75,275"
2020-10-03,"97,726"
2020-10-04,"86,091"
2020-10-05,"93,156"
2020-10-06,"100,369"
2020-10-07,"103,348"
2020-10-08,"105,509"
2020-10-09,"104,087"
2020-10-10,"104,678"
2020-10-11,"95,405"
2020-10-12,"97,721"
2020-10-13,"97,160"
2020-10-14,"92,998"
2020-10-15,"92,555"
2020-10-16,"92,609"
2020-10-17,"94,840"
2020-10-18,"89,401"
2020-10-19,"95,110"
2020-10-20,"98,577"
2020-10-21,"96,566"
2020-10-22,"92,100"
2020-10-23,"84,672"
2020-10-24,"77,452"
2020-10-25,"80,497"
2020-10-26,"92,374"
2020-10-27,"95,411"
2020-10-28,"95,033"
2020-10-29,"92,267"
2020-10-30,"97,088"
2020-10-31,"89,444"
2020-11-01,"32,925"
2020-11-02,"86,705"
2020-11-03,"69,439"
2020-11-04,"74,159"
2020-11-05,"85,090"
2020-11-06,"91,815"
2020-11-07,"84,151"
2020-11-08,"62,244"
2020-11-09,"73,482"
2020-11-10,"81,965"
2020-11-11,"86,595"
2020-11-12,"88,193"
2020-11-13,"90,754"
2020-11-14,"81,553"
2020-11-15,"69,098"
2020-11-16,"87,583"
2020-11-17,"81,258"
2020-11-18,"44,452"
2020-11-19,"34,590"
2020-11-20,"60,332"
2020-11-21,"60,290"
2020-11-22,"34,828"
2020-11-23,"58,766"
2020-11-24,"61,865"
2020-11-25,"64,921"
2020-11-26,"64,297"
2020-11-27,"58,092"
2020-11-28,"38,492"
2020-11-29,"32,211"
2020-11-30,"49,925"
2020-12-01,"53,885"
2020-12-02,"55,611"
2020-12-03,"51,533"
2020-12-04,"50,915"
2020-12-05,"42,953"
2020-12-06,"40,616"
2020-12-07,"49,809"
2020-12-08,"47,614"
2020-12-09,"50,476"
2020-12-10,"53,421"
2020-12-11,"53,536"
2020-12-12,"42,146"
2020-12-13,"14,362"
2020-12-14,"28,030"
2020-12-15,"28,028"
2020-12-16,"27,678"
2020-12-17,"32,315"
2020-12-18,"30,195"
2020-12-19,"24,130"
2020-12-20,"23,442"
2020-12-21,"37,286"
2020-12-22,"42,486"
2020-12-23,"42,218"
2020-12-24,"41,102"
2020-12-25,"28,600"
2020-12-26,"37,137"
2020-12-27,"37,103"
2020-12-28,"46,912"
2020-12-29,"35,747"
2020-12-30,"22,488"
2020-12-31,"24,535"
2021-01-01,"22,274"
2021-01-02,"23,631"
2021-01-03,"21,809"
2021-01-04,"32,957"
2021-01-05,"29,033"
2021-01-06,"22,261"
2021-01-07,"5,549"
2021-01-08,"8,029"
2021-01-09,"9,082"
2021-01-10,"11,116"
2021-01-11,"19,525"
2021-01-12,"12,827"
2021-01-13,"19,780"
2021-01-14,"32,603"
2021-01-15,"32,429"
2021-01-16,"22,524"
2021-01-17,"18,081"
2021-01-18,"18,110"
2021-01-19,"26,940"
2021-01-20,"36,983"
2021-01-21,"17,451"
2021-01-22,"34,963"
2021-01-23,"43,368"
2021-01-24,"50,024"
2021-01-25,"54,669"
2021-01-26,"26,272"
2021-01-27,"45,639"
2021-01-28,"22,745"
2021-01-29,"24,435"
2021-01-30,"28,379"
2021-01-31,"38,533"
